date,department,headcount,hires,departures,net_change
2023-12-27,HR,310,10,7,3
2024-01-26,HR,310,7,14,-7
2024-02-25,HR,320,9,6,3
2024-03-26,HR,300,14,10,4
2024-04-25,HR,321,11,8,3
2024-05-25,HR,297,10,7,3
2024-06-24,HR,297,14,4,10
2024-07-24,HR,300,11,7,4
2024-08-23,HR,316,11,7,4
2024-09-22,HR,324,10,7,3
2024-10-22,HR,314,12,12,0
2024-11-21,HR,322,13,8,5
2024-12-21,HR,332,14,7,7
2025-01-20,HR,334,9,6,3
2025-02-19,HR,352,17,6,11
2025-03-21,HR,338,12,6,6
2025-04-20,HR,342,21,12,9
2025-05-20,HR,343,14,13,1
2025-06-19,HR,335,16,10,6
2025-07-19,HR,342,17,6,11
2025-08-18,HR,335,17,10,7
2025-09-17,HR,351,16,8,8
2025-10-17,HR,356,15,12,3
2025-11-16,HR,349,15,14,1
2023-01-01,Finance,211,8,8,0
2023-01-31,Finance,216,5,6,-1
2023-03-02,Finance,228,5,8,-3
2023-04-01,Finance,228,17,5,12
2023-05-01,Finance,224,16,8,8
2023-05-31,Finance,231,9,8,1
2023-06-30,Finance,233,10,7,3
2023-07-30,Finance,220,6,8,-2
2023-08-29,Finance,217,7,8,-1
2023-09-28,Finance,225,3,7,-4
2023-10-28,Finance,230,14,8,6
2023-11-27,Finance,220,9,9,0
2023-12-27,Finance,227,10,8,2
2024-01-26,Finance,246,6,3,3
2024-02-25,Finance,245,6,7,-1
2024-03-26,Finance,252,10,6,4
2024-04-25,Finance,249,8,7,1
2024-05-25,Finance,233,9,6,3
2024-06-24,Finance,226,1,5,-4
2024-07-24,Finance,232,10,2,8
2024-08-23,Finance,247,15,7,8
2024-09-22,Finance,240,10,8,2
2024-10-22,Finance,245,12,4,8
2024-11-21,Finance,257,12,6,6
2024-12-21,Finance,250,10,7,3
2025-01-20,Finance,254,12,5,7
2025-02-19,Finance,264,11,7,4
2025-03-21,Finance,261,6,8,-2
2025-04-20,Finance,265,13,8,5
2025-05-20,Finance,273,9,10,-1
2025-06-19,Finance,259,8,6,2
2025-07-19,Finance,263,8,10,-2
2025-08-18,Finance,268,10,13,-3
2025-09-17,Finance,260,13,6,7
2025-10-17,Finance,263,12,9,3
2025-11-16,Finance,272,10,13,-3
2023-01-01,Operations,422,17,11,6
2023-01-31,Operations,415,15,18,-3
2023-03-02,Operations,422,20,17,3
2023-04-01,Operations,434,21,16,5
2023-05-01,Operations,424,20,11,9
2023-05-31,Operations,449,13,14,-1
2023-06-30,Operations,422,13,16,-3
2023-07-30,Operations,443,13,18,-5
2023-08-29,Operations,432,11,9,2
2023-09-28,Operations,427,18,12,6
2023-10-28,Operations,435,14,13,1
2023-11-27,Operations,446,11,18,-7
2023-12-27,Operations,457,8,12,-4
2024-01-26,Operations,457,22,11,11
2024-02-25,Operations,467,25,14,11
2024-03-26,Operations,481,28,15,13
2024-04-25,Operations,483,15,10,5
2024-05-25,Operations,444,14,14,0
2024-06-24,Operations,450,12,17,-5
2024-07-24,Operations,454,15,17,-2
2024-08-23,Operations,472,15,11,4
2024-09-22,Operations,470,23,18,5
2024-10-22,Operations,476,16,16,0
2024-11-21,Operations,492,17,9,8
2024-12-21,Operations,490,23,7,16
2025-01-20,Operations,504,16,16,0
2025-02-19,Operations,513,8,19,-11
2025-03-21,Operations,516,24,16,8
2025-04-20,Operations,523,16,13,3
2025-05-20,Operations,510,20,15,5
2025-06-19,Operations,517,26,14,12
2025-07-19,Operations,515,21,12,9
2025-08-18,Operations,504,26,17,9
2025-09-17,Operations,514,21,13,8
2025-10-17,Operations,512,24,14,10
2025-11-16,Operations,520,19,13,6
2023-01-01,Customer Success,281,12,7,5
2023-01-31,Customer Success,279,7,9,-2
2023-03-02,Customer Success,281,11,14,-3
2023-04-01,Customer Success,291,13,6,7
2023-05-01,Customer Success,297,6,13,-7
2023-05-31,Customer Success,298,17,6,11
2023-06-30,Customer Success,295,21,12,9
2023-07-30,Customer Success,293,12,10,2
2023-08-29,Customer Success,284,8,7,1
2023-09-28,Customer Success,282,11,7,4
2023-10-28,Customer Success,290,13,5,8
2023-11-27,Customer Success,300,22,12,10
2023-12-27,Customer Success,294,16,11,5
2024-01-26,Customer Success,305,11,7,4
2024-02-25,Customer Success,309,12,9,3
2024-03-26,Customer Success,310,9,17,-8
2024-04-25,Customer Success,301,6,3,3
2024-05-25,Customer Success,302,15,11,4
2024-06-24,Customer Success,310,15,16,-1
2024-07-24,Customer Success,301,12,6,6
2024-08-23,Customer Success,314,6,15,-9
2024-09-22,Customer Success,307,22,10,12
2024-10-22,Customer Success,311,14,4,10
2024-11-21,Customer Success,314,10,9,1
2024-12-21,Customer Success,323,15,12,3
2025-01-20,Customer Success,334,18,13,5
2025-02-19,Customer Success,354,18,17,1
2025-03-21,Customer Success,339,10,8,2
2025-04-20,Customer Success,344,13,5,8
2025-05-20,Customer Success,348,16,12,4
2025-06-19,Customer Success,342,13,12,1
2025-07-19,Customer Success,337,11,4,7
2025-08-18,Customer Success,336,8,10,-2
2025-09-17,Customer Success,338,9,7,2
2025-10-17,Customer Success,342,16,11,5
2025-11-16,Customer Success,355,20,16,4
