employee_id,department,level,location,hire_date,tenure_months,is_active,gender,age_group
EMP-00040,HR,IC2,New York,2021-04-19,56.2,True,M,41-50
EMP-00041,Finance,Senior,Seattle,2022-12-18,36.0,True,F,22-30
EMP-00042,HR,IC2,Remote,2021-05-25,55.0,True,M,31-40
EMP-00043,Engineering,IC2,San Francisco,2024-09-01,15.2,True,F,31-40
EMP-00044,Operations,Senior,Seattle,2024-02-08,22.1,True,M,22-30
EMP-00045,Sales,Senior,San Francisco,2021-11-30,48.7,True,F,31-40
EMP-00046,Product,IC2,Remote,2022-09-02,39.5,True,M,31-40
EMP-00047,Sales,IC1,Remote,2020-07-08,65.7,True,M,41-50
EMP-00048,Engineering,Senior,Seattle,2022-08-15,40.1,True,F,51-60
EMP-00049,Engineering,IC2,Remote,2021-11-17,49.2,False,M,31-40
EMP-00050,Finance,IC1,Seattle,2022-08-15,40.1,True,F,41-50
EMP-00051,Engineering,IC1,Seattle,2021-07-16,53.3,True,F,22-30
EMP-00052,Sales,Senior,Remote,2024-05-09,19.0,False,NB,51-60
EMP-00053,Sales,IC1,Remote,2023-06-21,29.8,True,M,22-30
EMP-00054,Engineering,Manager,New York,2022-04-11,44.3,True,F,22-30
EMP-00055,Customer Success,IC1,New York,2024-03-08,21.1,True,M,22-30
EMP-00056,Engineering,Senior,Remote,2023-02-28,33.6,True,F,31-40
EMP-00057,Product,IC2,Austin,2024-02-17,21.8,True,F,31-40
EMP-00058,Product,IC2,Remote,2021-10-08,50.5,True,M,51-60
EMP-00059,Engineering,Senior,New York,2020-01-21,71.4,True,M,41-50
EMP-00060,Engineering,IC2,Remote,2022-04-20,44.0,False,M,31-40
EMP-00061,HR,IC2,Remote,2020-06-15,66.5,True,F,31-40
EMP-00062,Customer Success,IC1,Seattle,2023-07-21,28.8,True,M,41-50
EMP-00063,Engineering,IC1,Remote,2021-01-22,59.1,True,F,41-50
EMP-00064,HR,IC1,San Francisco,2021-08-23,52.0,True,F,41-50
EMP-00065,Finance,Senior,San Francisco,2020-11-11,61.5,True,NB,31-40
EMP-00066,Operations,IC1,New York,2020-01-14,71.6,True,F,41-50
EMP-00067,Sales,IC1,Seattle,2020-08-29,64.0,True,M,41-50
EMP-00068,Product,IC2,New York,2022-02-15,46.2,True,F,22-30
EMP-00069,Product,IC2,Remote,2023-10-01,26.4,False,F,22-30
EMP-00070,HR,Senior,Seattle,2021-07-18,53.2,True,F,41-50
EMP-00071,Operations,IC1,San Francisco,2022-06-16,42.1,True,M,51-60
EMP-00072,Engineering,IC1,Remote,2023-09-25,26.6,True,M,31-40
EMP-00073,Product,Manager,San Francisco,2020-04-01,69.0,True,M,51-60
EMP-00074,Operations,IC1,San Francisco,2023-10-22,25.7,True,M,22-30
EMP-00075,Operations,Senior,San Francisco,2022-08-13,40.2,True,M,31-40
EMP-00076,Customer Success,Senior,New York,2024-01-18,22.8,False,M,31-40
EMP-00077,Finance,Senior,New York,2023-12-22,23.7,True,F,51-60
EMP-00078,Product,IC1,Remote,2021-05-23,55.1,True,M,31-40
EMP-00079,Marketing,Senior,San Francisco,2022-02-14,46.2,True,F,31-40
EMP-00080,HR,Senior,Remote,2020-02-04,70.9,True,M,22-30
EMP-00081,Engineering,IC2,New York,2020-07-24,65.2,True,F,31-40
EMP-00082,Sales,IC1,San Francisco,2023-01-09,35.2,True,F,51-60
EMP-00083,HR,IC1,Austin,2024-05-04,19.2,True,F,31-40
EMP-00084,Engineering,IC1,Austin,2023-11-12,25.0,True,F,41-50
EMP-00085,Finance,IC2,New York,2022-10-22,37.9,True,M,51-60
EMP-00086,Marketing,IC2,Seattle,2022-10-18,38.0,True,F,22-30
EMP-00087,Customer Success,IC2,Seattle,2023-11-14,24.9,True,M,41-50
EMP-00088,Engineering,IC2,Seattle,2021-07-19,53.2,True,M,31-40
EMP-00089,Product,IC2,Seattle,2023-02-03,34.4,True,M,22-30
EMP-00090,Marketing,IC2,Austin,2024-11-30,12.2,True,F,41-50
EMP-00091,Product,Manager,Seattle,2024-02-09,22.0,True,M,41-50
EMP-00092,HR,IC1,Austin,2021-12-03,48.6,True,F,31-40
EMP-00093,Finance,IC2,Seattle,2021-02-05,58.7,True,M,22-30
EMP-00094,Engineering,IC1,San Francisco,2021-12-30,47.7,True,F,51-60
EMP-00095,Sales,IC2,New York,2024-04-28,19.4,True,F,41-50
EMP-00096,Sales,Senior,Seattle,2020-06-10,66.7,True,M,31-40
EMP-00097,Product,Manager,Remote,2020-07-20,65.3,True,M,31-40
EMP-00098,Customer Success,IC1,Seattle,2022-09-22,38.9,True,F,22-30
EMP-00099,Operations,Manager,San Francisco,2020-09-26,63.1,True,M,31-40
EMP-00100,HR,IC1,Remote,2022-03-26,44.9,True,F,31-40
EMP-00101,HR,IC2,New York,2023-07-18,28.9,False,F,31-40
EMP-00102,Sales,IC1,Seattle,2021-03-31,56.9,True,M,22-30
EMP-00103,Customer Success,Senior,San Francisco,2024-01-25,22.5,True,M,41-50
EMP-00104,HR,IC2,Austin,2024-10-16,13.7,True,M,31-40
EMP-00105,HR,Senior,Remote,2023-06-29,29.5,True,M,31-40
EMP-00106,Operations,Senior,Remote,2022-10-13,38.2,True,M,31-40
EMP-00107,Product,IC1,San Francisco,2024-09-21,14.5,False,M,31-40
EMP-00108,Operations,IC1,Remote,2020-10-22,62.2,True,M,22-30
EMP-00109,Engineering,Senior,Seattle,2024-10-14,13.8,True,M,41-50
EMP-00110,Product,IC1,Seattle,2021-12-20,48.1,False,NB,31-40
EMP-00111,Product,IC1,Remote,2024-11-07,13.0,True,F,22-30
EMP-00112,Customer Success,IC2,Seattle,2020-12-03,60.8,True,F,22-30
EMP-00113,Operations,IC2,Seattle,2022-05-28,42.8,True,M,31-40
EMP-00114,HR,IC1,Seattle,2022-12-12,36.2,True,M,22-30
EMP-00115,HR,IC1,San Francisco,2022-03-02,45.7,True,F,31-40
EMP-00116,Marketing,IC1,Austin,2020-08-04,64.8,True,F,31-40
EMP-00117,Customer Success,IC2,New York,2022-02-02,46.6,True,M,41-50
EMP-00118,Sales,Senior,Seattle,2020-07-06,65.8,True,M,51-60
EMP-00119,Product,Manager,New York,2021-01-14,59.4,False,F,31-40
EMP-00120,Engineering,IC2,Remote,2021-05-07,55.6,True,F,41-50
EMP-00121,Finance,IC1,Remote,2022-11-30,36.6,False,M,41-50
EMP-00122,Finance,Manager,San Francisco,2023-03-26,32.7,True,F,51-60
EMP-00123,Product,IC2,Remote,2020-01-15,71.6,True,F,22-30
EMP-00124,Engineering,IC1,Austin,2020-03-05,69.9,True,NB,41-50
EMP-00125,Operations,Manager,Seattle,2021-06-04,54.7,True,F,51-60
EMP-00126,Engineering,Senior,Seattle,2023-09-29,26.5,True,M,31-40
EMP-00127,HR,Senior,Seattle,2023-02-26,33.6,True,F,31-40
EMP-00128,Customer Success,Senior,Austin,2021-10-09,50.5,True,F,51-60
EMP-00129,Sales,IC1,Seattle,2024-02-04,22.2,True,F,41-50
EMP-00130,Engineering,IC1,New York,2022-12-22,35.8,True,F,31-40
EMP-00131,HR,Senior,Seattle,2023-03-08,33.3,True,F,41-50
EMP-00132,Operations,IC1,Remote,2024-03-02,21.3,True,M,31-40
EMP-00133,Sales,IC2,San Francisco,2021-08-15,52.3,True,M,22-30
EMP-00134,Customer Success,Senior,Remote,2021-01-26,59.0,True,F,31-40
EMP-00135,Engineering,Senior,Remote,2024-08-25,15.4,True,M,31-40
EMP-00136,Sales,IC2,Seattle,2021-02-22,58.1,True,M,41-50
EMP-00137,HR,Senior,San Francisco,2020-10-15,62.4,True,M,31-40
EMP-00138,Operations,Senior,Seattle,2021-01-13,59.4,False,F,41-50
EMP-00139,Engineering,Senior,Remote,2024-12-01,12.2,True,M,31-40
EMP-00140,Operations,IC1,New York,2024-02-22,21.6,True,F,31-40
EMP-00141,Marketing,IC1,Seattle,2020-08-18,64.4,False,M,22-30
EMP-00142,Product,IC1,Seattle,2022-10-14,38.1,True,M,31-40
EMP-00143,Engineering,IC1,San Francisco,2020-02-10,70.7,True,M,51-60
EMP-00144,Operations,IC1,Remote,2022-11-17,37.0,True,M,22-30
EMP-00145,Engineering,IC1,Austin,2020-05-14,67.6,True,F,41-50
EMP-00146,Product,IC2,Remote,2020-07-19,65.4,True,F,31-40
EMP-00147,Product,Manager,San Francisco,2022-02-18,46.1,True,F,22-30
EMP-00148,Operations,IC1,Seattle,2022-07-18,41.1,True,M,22-30
EMP-00149,HR,Senior,Remote,2022-11-22,36.8,True,F,41-50
EMP-00150,Finance,Senior,Seattle,2022-12-07,36.3,True,M,31-40
EMP-00151,Product,IC1,Remote,2021-05-17,55.3,True,M,41-50
EMP-00152,Marketing,Manager,San Francisco,2021-02-10,58.5,True,M,41-50
EMP-00153,Marketing,IC2,Seattle,2024-05-16,18.8,True,F,31-40
EMP-00154,Operations,IC2,Austin,2024-10-17,13.7,True,M,31-40
EMP-00155,Operations,Senior,Remote,2022-03-15,45.2,True,M,31-40
EMP-00156,Engineering,IC1,Remote,2020-04-08,68.8,True,F,51-60
EMP-00157,HR,Senior,Seattle,2021-11-14,49.3,True,M,31-40
EMP-00158,Engineering,IC1,Seattle,2021-12-26,47.9,True,F,22-30
EMP-00159,Sales,Senior,New York,2024-04-19,19.7,True,NB,31-40
EMP-00160,Product,IC2,New York,2022-08-18,40.0,True,F,41-50
EMP-00161,Product,IC2,Austin,2024-10-28,13.3,True,M,41-50
EMP-00162,Product,IC1,Seattle,2021-09-04,51.6,True,F,51-60
EMP-00163,Marketing,Senior,Remote,2024-01-25,22.5,True,M,51-60
EMP-00164,Product,Senior,New York,2021-10-04,50.6,True,M,31-40
EMP-00165,Finance,IC2,Remote,2024-11-27,12.3,True,F,31-40
EMP-00166,Sales,IC2,New York,2022-10-25,37.8,True,M,41-50
EMP-00167,Engineering,IC2,San Francisco,2023-05-26,30.7,True,M,51-60
EMP-00168,Finance,Senior,Remote,2021-05-17,55.3,False,F,31-40
EMP-00169,Product,IC2,New York,2022-02-05,46.5,True,F,31-40
EMP-00170,Sales,Senior,Remote,2021-02-01,58.8,True,M,51-60
EMP-00171,HR,Senior,Remote,2022-05-20,43.0,True,M,31-40
EMP-00172,Product,IC2,Austin,2022-03-05,45.6,True,M,31-40
EMP-00173,Engineering,IC1,New York,2021-01-27,59.0,True,M,51-60
EMP-00174,Product,IC2,Seattle,2020-07-25,65.2,True,F,41-50
EMP-00175,Customer Success,Senior,Seattle,2022-11-04,37.4,True,F,22-30
EMP-00176,Marketing,IC1,Seattle,2024-04-26,19.5,True,F,31-40
EMP-00177,HR,IC2,Seattle,2022-06-10,42.3,True,M,31-40
EMP-00178,Marketing,Senior,Seattle,2024-01-24,22.6,True,M,51-60
EMP-00179,Engineering,IC2,San Francisco,2024-09-10,14.9,True,M,51-60
EMP-00180,Sales,IC2,San Francisco,2024-05-17,18.8,True,M,41-50
EMP-00181,Finance,IC1,San Francisco,2022-05-13,43.3,True,M,31-40
EMP-00182,Engineering,IC1,Seattle,2022-01-12,47.3,True,M,22-30
EMP-00183,Product,Senior,Seattle,2023-06-18,29.9,True,M,41-50
EMP-00184,Product,IC1,Austin,2021-07-17,53.3,True,F,31-40
EMP-00185,Sales,IC1,New York,2022-10-17,38.0,True,F,41-50
EMP-00186,Customer Success,Senior,San Francisco,2020-04-05,68.9,True,F,41-50
EMP-00187,Engineering,IC1,New York,2024-10-23,13.5,True,M,31-40
EMP-00188,Sales,Manager,Remote,2021-04-29,55.9,True,F,51-60
EMP-00189,Engineering,Manager,San Francisco,2023-12-01,24.4,True,NB,22-30
EMP-00190,Customer Success,IC1,New York,2020-08-18,64.4,True,M,41-50
EMP-00191,Engineering,IC1,Remote,2022-01-18,47.1,True,F,31-40
EMP-00192,Sales,Senior,Remote,2024-08-05,16.1,False,F,41-50
EMP-00193,Finance,IC2,San Francisco,2023-04-09,32.2,True,F,41-50
EMP-00194,HR,IC1,New York,2021-06-24,54.0,True,M,22-30
EMP-00195,Sales,Senior,Seattle,2022-11-25,36.7,True,M,31-40
EMP-00196,Product,IC1,New York,2021-06-08,54.6,True,M,22-30
EMP-00197,Product,Senior,Remote,2023-03-29,32.6,False,M,22-30
EMP-00198,Product,IC1,New York,2024-09-18,14.6,True,F,41-50
EMP-00199,Engineering,IC1,Remote,2023-06-20,29.8,True,F,22-30
EMP-00200,Sales,IC1,San Francisco,2023-01-14,35.1,True,M,31-40
EMP-00201,Product,Manager,Remote,2021-07-31,52.8,True,F,22-30
EMP-00202,Product,Senior,New York,2021-11-12,49.3,True,F,31-40
EMP-00203,HR,Senior,Seattle,2021-07-10,53.5,True,M,41-50
EMP-00204,Customer Success,IC2,New York,2024-05-16,18.8,True,M,31-40
EMP-00205,Marketing,IC1,Seattle,2022-10-09,38.3,True,F,41-50
EMP-00206,Engineering,IC1,Seattle,2021-10-07,50.5,True,F,41-50
EMP-00207,Engineering,IC2,Remote,2022-03-06,45.5,True,M,22-30
EMP-00208,Customer Success,IC2,Seattle,2022-11-17,37.0,True,M,41-50
EMP-00209,Product,IC2,Austin,2024-07-01,17.3,False,M,31-40
EMP-00210,Engineering,IC1,Seattle,2024-04-28,19.4,True,F,22-30
EMP-00211,Marketing,Manager,Seattle,2023-09-25,26.6,True,M,31-40
EMP-00212,Marketing,IC1,Remote,2023-09-16,26.9,True,F,22-30
EMP-00213,Marketing,Manager,San Francisco,2024-07-21,16.6,True,M,41-50
EMP-00214,Product,IC1,New York,2024-03-09,21.1,True,M,22-30
EMP-00215,Engineering,IC2,New York,2023-10-03,26.3,True,F,22-30
EMP-00216,Customer Success,IC1,New York,2024-02-05,22.2,True,M,31-40
EMP-00217,Product,IC2,Remote,2023-06-08,30.2,True,F,31-40
EMP-00218,HR,IC2,Austin,2020-07-08,65.7,True,M,41-50
EMP-00219,HR,IC2,San Francisco,2023-06-02,30.4,True,F,31-40
EMP-00220,Marketing,IC2,Remote,2023-11-09,25.1,True,M,41-50
EMP-00221,Product,Senior,Seattle,2023-11-01,25.4,True,M,51-60
EMP-00222,Product,Senior,New York,2023-07-30,28.5,True,F,31-40
EMP-00223,Marketing,Senior,Remote,2021-09-24,51.0,False,M,41-50
EMP-00224,Operations,IC1,New York,2021-09-19,51.1,True,F,31-40
EMP-00225,Customer Success,IC2,Remote,2022-08-30,39.6,True,M,22-30
EMP-00226,Engineering,IC2,Austin,2024-11-03,13.1,True,F,31-40
EMP-00227,Engineering,IC2,Remote,2023-07-06,29.3,False,F,22-30
EMP-00228,Customer Success,IC2,Remote,2023-10-14,26.0,True,F,51-60
EMP-00229,Finance,IC1,Seattle,2021-12-10,48.4,True,F,22-30
EMP-00230,Operations,IC1,Seattle,2024-01-19,22.7,True,F,41-50
EMP-00231,Engineering,IC1,San Francisco,2023-12-05,24.2,True,F,31-40
EMP-00232,Marketing,IC1,Austin,2021-10-10,50.4,True,M,41-50
EMP-00233,HR,Senior,Seattle,2020-11-13,61.5,True,F,22-30
EMP-00234,HR,Senior,Seattle,2024-08-27,15.4,True,M,41-50
EMP-00235,Sales,Manager,San Francisco,2023-06-02,30.4,True,M,22-30
EMP-00236,Engineering,Senior,Remote,2023-06-11,30.1,True,M,51-60
EMP-00237,Marketing,IC1,Austin,2021-11-14,49.3,True,F,41-50
EMP-00238,Product,Senior,San Francisco,2021-10-25,49.9,True,M,41-50
EMP-00239,Sales,Senior,Seattle,2023-10-29,25.5,True,F,22-30
EMP-00240,Customer Success,IC2,San Francisco,2024-08-22,15.5,True,M,22-30
EMP-00241,Product,IC2,Seattle,2024-06-19,17.7,True,M,51-60
EMP-00242,Operations,Manager,Seattle,2024-02-04,22.2,True,F,22-30
EMP-00243,Engineering,IC2,Remote,2023-06-10,30.2,True,M,22-30
EMP-00244,HR,Manager,Remote,2024-09-11,14.9,True,M,31-40
EMP-00245,Customer Success,IC1,Seattle,2023-02-10,34.2,False,M,31-40
EMP-00246,Engineering,IC1,Seattle,2024-02-29,21.4,True,F,22-30
EMP-00247,Engineering,IC2,San Francisco,2021-03-17,57.3,True,M,31-40
EMP-00248,Sales,IC2,San Francisco,2021-07-17,53.3,False,M,31-40
EMP-00249,Engineering,Senior,Seattle,2023-07-15,29.0,False,F,22-30
EMP-00250,Finance,Manager,San Francisco,2024-03-13,20.9,True,M,31-40
EMP-00251,Operations,IC2,Seattle,2023-11-10,25.1,True,F,31-40
EMP-00252,Sales,IC1,Austin,2023-11-11,25.0,False,M,41-50
EMP-00253,Product,Senior,Austin,2023-02-10,34.2,True,M,22-30
EMP-00254,Sales,IC2,New York,2024-06-24,17.5,True,F,41-50
EMP-00255,HR,IC1,San Francisco,2024-07-06,17.1,False,F,31-40
EMP-00256,Engineering,IC2,Remote,2022-08-09,40.3,True,F,31-40
EMP-00257,Marketing,Senior,Remote,2023-01-09,35.2,True,F,22-30
EMP-00258,Marketing,Senior,Seattle,2021-11-29,48.8,True,M,22-30
EMP-00259,Marketing,IC2,Seattle,2020-04-22,68.3,True,M,41-50
EMP-00260,Engineering,IC1,New York,2020-01-02,72.0,True,M,31-40
EMP-00261,HR,Manager,Seattle,2021-10-03,50.7,False,F,41-50
EMP-00262,Engineering,Senior,San Francisco,2020-08-07,64.7,True,F,51-60
EMP-00263,Engineering,IC2,New York,2024-05-08,19.1,True,F,31-40
EMP-00264,Operations,IC1,New York,2022-05-04,43.6,False,M,31-40
EMP-00265,Finance,Senior,San Francisco,2024-10-25,13.4,True,F,31-40
EMP-00266,Engineering,IC1,New York,2023-06-02,30.4,True,F,51-60
EMP-00267,Engineering,IC1,Remote,2021-01-19,59.2,True,F,41-50
EMP-00268,Engineering,IC2,Seattle,2023-11-27,24.5,True,F,41-50
EMP-00269,Product,IC1,Austin,2024-07-19,16.7,True,F,31-40
EMP-00270,Engineering,IC2,Seattle,2023-02-27,33.6,True,M,41-50
EMP-00271,Engineering,IC1,Seattle,2022-12-12,36.2,True,M,41-50
EMP-00272,Sales,Senior,New York,2024-09-03,15.1,True,M,31-40
EMP-00273,Finance,IC1,Seattle,2021-12-30,47.7,True,M,31-40
EMP-00274,Marketing,IC1,Seattle,2024-08-22,15.5,True,M,31-40
EMP-00275,HR,IC1,Seattle,2024-09-29,14.3,True,M,22-30
EMP-00276,Engineering,Manager,New York,2023-12-10,24.1,True,M,41-50
EMP-00277,Customer Success,Senior,Austin,2020-09-03,63.8,True,F,22-30
EMP-00278,Operations,IC1,Seattle,2022-04-15,44.2,True,F,31-40
EMP-00279,Operations,Senior,Austin,2024-01-02,23.3,True,F,31-40
EMP-00280,Operations,IC2,Seattle,2020-07-21,65.3,True,M,31-40
EMP-00281,Customer Success,Manager,New York,2023-04-22,31.8,True,M,31-40
EMP-00282,Sales,IC2,San Francisco,2020-05-02,68.0,True,M,51-60
EMP-00283,Engineering,Senior,Austin,2021-02-04,58.7,True,NB,31-40
EMP-00284,Marketing,IC1,Remote,2022-02-05,46.5,True,F,22-30
EMP-00285,Finance,IC2,Remote,2020-10-20,62.3,True,M,41-50
EMP-00286,Finance,Manager,Seattle,2020-10-06,62.7,True,F,22-30
EMP-00287,Sales,IC2,Remote,2022-06-02,42.6,True,M,22-30
EMP-00288,Engineering,IC1,Seattle,2024-06-21,17.6,True,F,22-30
EMP-00289,Product,IC1,Remote,2020-07-16,65.5,True,M,22-30
EMP-00290,Customer Success,Senior,Seattle,2022-09-08,39.3,True,M,31-40
EMP-00291,Marketing,IC2,San Francisco,2024-03-14,20.9,True,M,31-40
EMP-00292,Sales,IC2,Seattle,2022-01-21,47.0,True,F,22-30
EMP-00293,Product,Manager,Seattle,2020-05-23,67.3,False,F,41-50
EMP-00294,Product,IC1,Austin,2021-08-31,51.8,True,F,22-30
EMP-00295,Operations,IC1,Remote,2023-05-09,31.2,True,M,51-60
EMP-00296,HR,Manager,New York,2023-02-21,33.8,True,M,31-40
EMP-00297,Finance,IC1,Austin,2020-07-05,65.8,True,NB,22-30
EMP-00298,Sales,IC1,Austin,2023-09-11,27.1,True,F,51-60
EMP-00299,Marketing,IC2,Seattle,2021-04-08,56.6,True,F,31-40
EMP-00300,Engineering,Senior,Seattle,2023-10-04,26.3,True,M,31-40
EMP-00301,HR,IC1,Seattle,2024-11-29,12.2,True,F,31-40
EMP-00302,Sales,Manager,San Francisco,2021-10-21,50.1,True,M,41-50
EMP-00303,Sales,Senior,Seattle,2022-02-02,46.6,True,F,31-40
EMP-00304,Marketing,IC1,Seattle,2022-08-12,40.2,True,F,22-30
EMP-00305,Customer Success,Senior,Seattle,2021-02-06,58.6,True,M,22-30
EMP-00306,Engineering,IC2,Seattle,2023-10-01,26.4,False,M,41-50
EMP-00307,Operations,IC2,Remote,2024-03-14,20.9,True,M,22-30
EMP-00308,Product,Senior,Seattle,2020-05-26,67.2,True,M,22-30
EMP-00309,Sales,Manager,New York,2023-03-17,33.0,True,F,31-40
EMP-00310,Engineering,IC1,New York,2022-05-13,43.3,True,M,41-50
EMP-00311,Product,IC2,New York,2024-09-30,14.2,True,F,31-40
EMP-00312,Sales,IC2,Seattle,2021-05-03,55.8,True,F,31-40
EMP-00313,Engineering,IC2,San Francisco,2022-07-17,41.1,True,F,41-50
EMP-00314,Sales,IC2,Seattle,2024-07-21,16.6,True,F,22-30
EMP-00315,Customer Success,IC1,San Francisco,2021-07-04,53.7,True,F,41-50
EMP-00316,Engineering,Senior,Seattle,2020-12-03,60.8,True,F,51-60
EMP-00317,Finance,IC2,New York,2022-05-21,43.0,True,M,41-50
EMP-00318,Sales,IC1,Austin,2021-10-02,50.7,True,F,22-30
EMP-00319,HR,Senior,New York,2021-04-17,56.3,True,F,31-40
EMP-00320,Product,Senior,San Francisco,2020-05-30,67.0,True,M,22-30
EMP-00321,Engineering,IC2,San Francisco,2023-12-09,24.1,True,F,51-60
EMP-00322,Engineering,IC1,Remote,2023-08-14,28.0,False,F,51-60
EMP-00323,Engineering,IC2,Seattle,2024-06-22,17.6,True,F,22-30
EMP-00324,Engineering,IC1,Austin,2020-09-19,63.3,True,M,41-50
EMP-00325,HR,IC1,Austin,2024-11-22,12.5,True,F,41-50
EMP-00326,Operations,Senior,San Francisco,2020-05-23,67.3,True,M,22-30
EMP-00327,Operations,IC1,Seattle,2020-12-11,60.5,True,F,22-30
EMP-00328,HR,IC1,San Francisco,2021-09-15,51.3,True,M,22-30
EMP-00329,Engineering,IC1,Seattle,2022-10-13,38.2,True,F,31-40
EMP-00330,Product,IC1,Seattle,2024-05-14,18.9,False,M,51-60
EMP-00331,Product,IC1,Seattle,2022-05-30,42.7,False,M,51-60
EMP-00332,Engineering,Manager,Seattle,2020-01-02,72.0,True,M,22-30
EMP-00333,Sales,IC1,New York,2022-06-15,42.2,True,M,22-30
EMP-00334,Sales,IC1,Remote,2023-08-20,27.8,False,F,31-40
EMP-00335,Product,IC1,Seattle,2020-09-10,63.6,False,F,41-50
EMP-00336,Product,Manager,Remote,2024-08-02,16.2,True,M,41-50
EMP-00337,Operations,IC2,Remote,2021-03-28,57.0,True,M,31-40
EMP-00338,Finance,IC2,Remote,2022-11-26,36.7,True,M,31-40
EMP-00339,Product,Senior,Remote,2023-03-29,32.6,True,F,22-30
EMP-00340,Operations,IC2,San Francisco,2022-10-11,38.2,True,M,31-40
EMP-00341,Customer Success,IC1,Seattle,2020-01-09,71.8,True,M,51-60
EMP-00342,Product,IC1,New York,2023-06-10,30.2,True,M,22-30
EMP-00343,Product,IC2,New York,2023-01-27,34.6,True,M,31-40
EMP-00344,Sales,IC1,Remote,2024-08-09,16.0,True,M,31-40
EMP-00345,Customer Success,Senior,Remote,2022-03-26,44.9,True,M,31-40
EMP-00346,Operations,IC1,New York,2020-07-26,65.1,True,F,31-40
EMP-00347,Engineering,IC2,San Francisco,2023-02-28,33.6,True,F,31-40
EMP-00348,Product,IC1,Seattle,2021-02-07,58.6,True,M,51-60
EMP-00349,Marketing,IC1,Seattle,2020-05-31,67.0,True,F,31-40
EMP-00350,Sales,IC2,New York,2020-02-23,70.3,True,M,31-40
EMP-00351,Engineering,Manager,New York,2023-02-17,33.9,True,F,22-30
EMP-00352,Operations,IC2,Remote,2024-08-23,15.5,True,M,41-50
EMP-00353,HR,Senior,New York,2021-09-19,51.1,False,F,31-40
EMP-00354,Operations,IC1,Remote,2021-08-09,52.5,True,F,41-50
EMP-00355,Operations,IC1,New York,2024-07-06,17.1,True,M,31-40
EMP-00356,Finance,IC1,Remote,2023-12-14,23.9,True,F,22-30
EMP-00357,Sales,IC1,Seattle,2023-12-16,23.9,True,M,22-30
EMP-00358,Marketing,IC1,Remote,2020-04-13,68.6,True,F,51-60
EMP-00359,Engineering,IC1,Austin,2020-09-10,63.6,True,M,31-40
EMP-00360,HR,Senior,Seattle,2023-06-04,30.4,True,M,22-30
