sender_id,receiver_id,sender_dept,receiver_dept,interaction_type,duration_minutes,is_cross_department,week
EMP-03941,EMP-04177,Product,Product,meeting,20.4,False,2025-W19
EMP-04664,EMP-02277,Operations,Product,email,8.1,True,2025-W03
EMP-03394,EMP-03748,Marketing,Marketing,email,1.0,False,2025-W11
EMP-02533,EMP-04180,Marketing,Product,chat,1.2,True,2025-W22
EMP-00301,EMP-00748,HR,HR,chat,0.7,False,2025-W36
EMP-04774,EMP-00137,HR,HR,meeting,40.3,False,2025-W23
EMP-04315,EMP-01755,Operations,Operations,meeting,29.8,False,2025-W25
EMP-04464,EMP-01119,Customer Success,Customer Success,email,3.2,False,2025-W19
EMP-03406,EMP-04943,HR,HR,email,5.3,False,2025-W07
EMP-03896,EMP-03277,Engineering,Engineering,email,0.4,False,2025-W12
EMP-04757,EMP-02039,Product,Product,chat,3.9,False,2025-W19
EMP-04626,EMP-04009,Engineering,Engineering,email,5.1,False,2025-W31
EMP-00930,EMP-04483,Product,Product,email,1.2,False,2025-W38
EMP-04535,EMP-00598,Engineering,Engineering,email,12.1,False,2025-W34
EMP-02293,EMP-04832,Sales,Sales,email,0.4,False,2025-W09
EMP-01970,EMP-03602,Product,Product,email,2.5,False,2025-W17
EMP-00314,EMP-00095,Sales,Sales,email,1.6,False,2025-W33
EMP-02758,EMP-01603,Sales,Operations,meeting,27.3,True,2025-W13
EMP-00687,EMP-00783,HR,Engineering,chat,2.9,True,2025-W36
EMP-04038,EMP-00968,Sales,Sales,email,4.5,False,2025-W05
EMP-00286,EMP-04284,Finance,Finance,chat,2.7,False,2025-W06
EMP-00530,EMP-02380,Sales,Sales,email,1.9,False,2025-W32
EMP-00375,EMP-02346,Engineering,Engineering,chat,1.8,False,2025-W39
EMP-00454,EMP-00682,Product,Product,email,6.3,False,2025-W04
EMP-02165,EMP-03709,Engineering,Engineering,meeting,76.5,False,2025-W36
EMP-03989,EMP-04840,Operations,Operations,meeting,25.9,False,2025-W15
EMP-03713,EMP-02022,Engineering,Engineering,meeting,23.6,False,2025-W25
EMP-01046,EMP-02397,Operations,Sales,meeting,39.0,True,2025-W13
EMP-04833,EMP-00560,Engineering,Engineering,email,0.2,False,2025-W22
EMP-04604,EMP-03756,Customer Success,Sales,email,3.9,True,2025-W38
EMP-03810,EMP-04482,Sales,Sales,meeting,101.2,False,2025-W26
EMP-03463,EMP-00078,Product,Product,meeting,14.2,False,2025-W24
EMP-00555,EMP-04965,Operations,Product,meeting,69.8,True,2025-W02
EMP-00594,EMP-00621,Marketing,Marketing,chat,0.0,False,2025-W33
EMP-00150,EMP-03369,Finance,Finance,email,2.4,False,2025-W08
EMP-00188,EMP-02118,Sales,Sales,email,22.7,False,2025-W39
EMP-04777,EMP-01922,Operations,Operations,email,4.6,False,2025-W19
EMP-04775,EMP-03449,Operations,Finance,email,2.1,True,2025-W38
EMP-03085,EMP-04407,HR,HR,meeting,53.1,False,2025-W26
EMP-04636,EMP-00315,Customer Success,Customer Success,chat,0.6,False,2025-W06
EMP-02980,EMP-01366,Sales,Sales,meeting,24.9,False,2025-W34
EMP-00839,EMP-01417,Operations,Operations,email,5.9,False,2025-W21
EMP-02863,EMP-00421,HR,HR,email,3.7,False,2025-W16
EMP-04340,EMP-02407,Sales,Sales,email,12.0,False,2025-W22
EMP-01012,EMP-01083,Product,Product,email,5.1,False,2025-W02
EMP-04826,EMP-01002,Customer Success,Customer Success,email,0.4,False,2025-W20
EMP-01060,EMP-03440,Product,Product,chat,0.1,False,2025-W37
EMP-00142,EMP-03455,Product,Product,email,1.2,False,2025-W30
EMP-04524,EMP-04565,Engineering,Product,meeting,12.7,True,2025-W12
EMP-01933,EMP-04355,Sales,Product,meeting,7.0,True,2025-W27
EMP-00315,EMP-02979,Customer Success,Customer Success,chat,2.0,False,2025-W18
EMP-01599,EMP-03468,Sales,Engineering,chat,11.2,True,2025-W39
EMP-02108,EMP-01511,Finance,Finance,email,5.8,False,2025-W09
EMP-03161,EMP-04127,Customer Success,Finance,email,2.8,True,2025-W16
EMP-00821,EMP-04541,HR,Operations,chat,0.3,True,2025-W26
EMP-03147,EMP-04919,Sales,Sales,meeting,31.8,False,2025-W37
EMP-02702,EMP-02095,Marketing,Marketing,email,7.8,False,2025-W08
EMP-00702,EMP-00896,Sales,Sales,chat,3.1,False,2025-W13
EMP-00171,EMP-04684,HR,HR,email,8.7,False,2025-W22
EMP-01871,EMP-00179,Engineering,Engineering,meeting,37.7,False,2025-W20
EMP-00709,EMP-02866,Product,Product,email,0.6,False,2025-W07
EMP-01992,EMP-00420,Engineering,Engineering,meeting,4.3,False,2025-W29
EMP-01673,EMP-00056,Operations,Engineering,meeting,27.1,True,2025-W07
EMP-00225,EMP-04060,Customer Success,Customer Success,email,4.3,False,2025-W39
EMP-00092,EMP-00460,HR,HR,email,16.1,False,2025-W33
EMP-04324,EMP-04980,Sales,Sales,email,15.0,False,2025-W26
EMP-00950,EMP-04073,Customer Success,Marketing,email,0.5,True,2025-W22
EMP-02330,EMP-03554,Operations,Operations,email,1.9,False,2025-W28
EMP-02796,EMP-00193,Finance,Finance,email,17.9,False,2025-W14
EMP-01664,EMP-03810,Sales,Sales,email,2.7,False,2025-W01
EMP-01139,EMP-00399,Engineering,Sales,email,18.7,True,2025-W36
EMP-03741,EMP-02656,Product,Product,email,11.0,False,2025-W32
EMP-02127,EMP-03553,Engineering,Engineering,email,5.5,False,2025-W37
EMP-01474,EMP-01555,Customer Success,Customer Success,email,0.2,False,2025-W29
EMP-03797,EMP-04676,HR,Sales,meeting,32.3,True,2025-W28
EMP-03272,EMP-02425,Customer Success,Engineering,email,8.1,True,2025-W19
EMP-03411,EMP-00748,Engineering,HR,chat,0.6,True,2025-W28
EMP-01790,EMP-02921,Product,Product,email,3.7,False,2025-W16
EMP-02119,EMP-03396,Sales,Finance,meeting,13.6,True,2025-W09
EMP-03850,EMP-01511,Finance,Finance,email,0.8,False,2025-W24
EMP-03447,EMP-03285,HR,Sales,email,3.1,True,2025-W07
EMP-01651,EMP-00172,Product,Product,email,4.3,False,2025-W05
EMP-02511,EMP-04059,Sales,Sales,email,0.7,False,2025-W15
EMP-00304,EMP-01686,Marketing,Marketing,email,0.9,False,2025-W14
